"","id","time","production"
"497","BLR",1980,0
"498","BLR",1981,0
"499","BLR",1982,0
"500","BLR",1983,0
"501","BLR",1984,0
"502","BLR",1985,0
"503","BLR",1986,0
"504","BLR",1987,0
"505","BLR",1988,0
"506","BLR",1989,0
"507","BLR",1990,0
"508","BLR",1991,0
"509","BLR",1992,0
"510","BLR",1993,0
"511","BLR",1994,0
"512","BLR",1995,0
"513","BLR",1996,0
"514","BLR",1997,0
"515","BLR",1998,0
"516","BLR",1999,0
"517","BLR",2000,0
"518","BLR",2001,0
"519","BLR",2002,0
"520","BLR",2003,0
"521","BLR",2004,0
"522","BLR",2005,0
"523","BLR",2006,0
"524","BLR",2007,0
"525","BLR",2008,0
"526","BLR",2009,0
"527","BLR",2010,0
"528","BLZ",1980,0
"529","BLZ",1981,0
"530","BLZ",1982,0
"531","BLZ",1983,0
"532","BLZ",1984,0
"533","BLZ",1985,0
"534","BLZ",1986,0
"535","BLZ",1987,0
"536","BLZ",1988,0
"537","BLZ",1989,0
"538","BLZ",1990,0
"539","BLZ",1991,0
"540","BLZ",1992,0
"541","BLZ",1993,0
"542","BLZ",1994,0
"543","BLZ",1995,0
"544","BLZ",1996,0
"545","BLZ",1997,0
"546","BLZ",1998,0
"547","BLZ",1999,0
"548","BLZ",2000,0
"549","BLZ",2001,0
"550","BLZ",2002,0
"551","BLZ",2003,0
"552","BLZ",2004,0
"553","BLZ",2005,0
"554","BLZ",2006,0
"555","BLZ",2007,0
"556","BLZ",2008,0
"557","BLZ",2009,0
"558","BLZ",2010,0
"559","BOL",1980,81091.1759187126
"560","BOL",1981,78608.1823289347
"561","BOL",1982,88546.1150472403
"562","BOL",1983,55084.5285052764
"563","BOL",1984,46719.0646389067
"564","BOL",1985,82447.6918858194
"565","BOL",1986,77891.9430487871
"566","BOL",1987,68187.1726628852
"567","BOL",1988,50704.6300839257
"568","BOL",1989,80036.0821650195
"569","BOL",1990,83195.5024875069
"570","BOL",1991,70828.3007171297
"571","BOL",1992,43885.5520769715
"572","BOL",1993,85972.4615293789
"573","BOL",1994,85671.7547194624
"574","BOL",1995,73512.5969498658
"575","BOL",1996,69543.0596963572
"576","BOL",1997,56419.0424239898
"577","BOL",1998,57195.2370064259
"578","BOL",1999,78086.2083646488
"579","BOL",2000,69722.1684021187
"580","BOL",2001,58552.7015198898
"581","BOL",2002,46131.933793354
"582","BOL",2003,61454.0840212107
"583","BOL",2004,60144.5859329987
"584","BOL",2005,43968.9827420068
"585","BOL",2006,43964.4808283222
"586","BOL",2007,50157.345777247
"587","BOL",2008,46848.4634304333
"588","BOL",2009,43863.7589732218
"589","BOL",2010,42103.7456690311
"590","BRA",1980,1301531.2988459
"591","BRA",1981,1176678.05486203
"592","BRA",1982,1209595.87139492
"593","BRA",1983,1098983.94228653
"594","BRA",1984,1071916.20448536
"595","BRA",1985,1128484.36234902
"596","BRA",1986,1106793.78508373
"597","BRA",1987,1185632.46905831
"598","BRA",1988,1017641.53972112
"599","BRA",1989,1028716.63913657
"600","BRA",1990,973136.779672734
"601","BRA",1991,1060218.16044121
"602","BRA",1992,1047840.45052484
"603","BRA",1993,927055.294227821
"604","BRA",1994,928567.370362809
"605","BRA",1995,882014.873131772
"606","BRA",1996,892170.093777804
"607","BRA",1997,970135.753837508
"608","BRA",1998,1011352.91701604
"609","BRA",1999,791623.757445805
"610","BRA",2000,843901.632134781
"611","BRA",2001,993219.426647266
"612","BRA",2002,940957.76991217
"613","BRA",2003,951144.982470086
"614","BRA",2004,885865.324335537
"615","BRA",2005,975736.87424334
"616","BRA",2006,929735.048687663
"617","BRA",2007,904973.19774704
"618","BRA",2008,824837.193385799
"619","BRA",2009,901817.039598182
"620","BRA",2010,930252.942850299
"621","BRN",1980,0
"622","BRN",1981,0
"623","BRN",1982,0
